id,title,venue,abstract,feild
529,Pathological Image Analysis Using the GPU: Stroma Classification for Neuroblastoma,Bioinformatics and Biomedicine,"Neuroblastoma is one of the most malignant childhood cancers affecting infants mostly. The current prognosis is based on microscopic examination of slides by expert pathologists, a process that is error-prone, time consuming and may lead to inter- and intra-reader variations. Therefore, we are developing a Computer Aided Prognosis (CAP) system which provides computerized image analysis to assist pathologist in their prognosis. Since this system operates on relatively large- scale images and requires sophisticated algorithms, it takes a long time to process whole-slide images. In this paper, we propose a novel and efficient approach for the execution of a CAP system for neuroblastoma prognosis, using the graphics processing unit (GPU). By leveraging high memory bandwidth and strong floating point operation capabilities of the GPU, our goal is to achieve order of magnitude reduction in the overall execution time as compared to that on a CPU alone. The proposed approach was tested on a set of testing images with a promising accuracy of 99.4% and an execution performance gain factor up to 45 times compared to C++ code running on the CPU.",biology
530,Microarray Biclustering: A Novel Memetic Approach Based on the PISA Platform,"Evolutionary Computation, Machine Learning and Data Mining in Bioinformatics","In this paper, a new memetic approach that integrates a Multi- Objective Evolutionary Algorithm (MOEA) with local search for microarray biclustering is presented. The original features of this proposal are the consideration of opposite regulation and incorporation of a mechanism for tuning the balance between the size and row variance of the biclusters. The approach was developed according to the Platform and Programming Language Independent Interface for Search Algorithms (PISA) framework, thus achieving the possibility of testing and comparing several different memetic MOEAs. The performance of the MOEA strategy based on the SPEA2 performed better, and its resulting biclusters were compared with those obtained by a multi-objective approach recently published. The benchmarks were two datasets corresponding to Saccharomyces cerevisiae and human B-cells Lymphoma. Our proposal achieves a better proportion of coverage of the gene expression data matrix, and it also obtains biclusters with new features that the former existing evolutionary strategies can not detect. © Springer-Verlag Berlin Heidelberg 2009.",biology
531,A new method for measuring the semantic similarity on gene ontology,Bioinformatics and Biomedicine,"Semantic similarity defined on Gene Ontology (GO) aims to provide the functional relationship between different biological processes, molecular functions, or cellular components. In this paper, a novel method, namely the Shortest Path (SP) algorithm, for measuring the semantic similarity on GO is proposed based on both the GO structure information and the term's property. The proposed algorithm searches for the shortest path that connects two terms and uses the sum of weights on the shortest path to compute the semantic similarity for GO terms. A method for evaluating the nonlinear correlation between two variables is also introduced for validation. Extensive experiments conducted on two public gene expression datasets demonstrate the overall superiority of SP method over the other state-of-the-art methods evaluated.",biology
532,Detecting stairs and pedestrian crosswalks for the blind by RGBD camera,Bioinformatics and Biomedicine," A computer vision-based wayfinding and navigation aid can improve the mobility of blind and visually impaired people to travel independently. In this paper, we develop a new framework to detect and recognize stairs and pedestrian crosswalks using a RGBD camera. Since both stairs and pedestrian crosswalks are featured by a group of parallel lines, we first apply Hough transform to extract the concurrent parallel lines based on the RGB channels. Then, the Depth channel is employed to further recognize pedestrian crosswalks, upstairs, and downstairs using support vector machine (SVM) classifiers. Furthermore, we estimate the distance between the camera and stairs for the blind users. The detection and recognition results on our collected dataset demonstrate that the effectiveness and efficiency of our proposed framework. ",biology
533,An Optimized Algorithm for Task Scheduling Based on Activity Based Costing in Cloud Computing,International Conference on Bioinformatics and Biomedical Engineering,"In cloud computing, traditional way for task scheduling cannot measure the cost of cloud resources accurately by reason that each of the tasks on cloud systems is totally different between each other. There may be no relationship between the overhead application base and the way that different tasks cause overhead costs of resources in cloud systems. The traditional way for task scheduling cannot meet the cloud market well enough. This paper introduces an optimized algorithm for task scheduling based on ABC (activity based costing) in cloud computing and its implementation. Compared with the traditional methods of task scheduling, a new method with an optimized algorithm based on ABC algorithm was proposed in this paper.",biology
534,Graph-constrained discriminant analysis of functional genomics data,International Conference on Bioinformatics, https://hal-supelec.archives-ouvertes.fr/hal-00346450 ,biology
535,Association analysis techniques for analyzing complex biological data sets,International Conference on Bioinformatics,"Association analysis is one of the most popular analysis paradigms in data mining. In this paper, we present different types of association patterns and discuss some of their applications in bioinformatics. We present a case study showing the usefulness of association analysis-based techniques for pre-processing protein interaction networks. Finally, we discuss some of the challenges that need to be addressed to make association analysis-based techniques more applicable for bioinformatics.",biology
536,Fast graph approaches to measure influenza transmission across geographically distributed host types,International Conference on Bioinformatics,"Recent advances in next generation sequencing are provid- ing a number of large whole-genome sequence datasets stemming from globally distributed disease occurrences. This offers an unprecedented opportunity for epidemiological studies and the development of computationally efficient, robust tools for such studies. Here we present an analytic approach combining several existing tools that enables a quick, effective, and robust epidemiological analysis of large wholegenome datasets. In this report, our dataset contains over 4; 200 globally sampled Inuenza A virus isolates from multiple host type, subtypes, and years. These sequences are compared using an alignment-free method that runs in linear time. This enables us to generate a disease transmission network where sequences serve as nodes, and high-degree sequence similarity as edges. Mixing patterns are then used to examine statistical probabilities of edge formation among different host types from different global regions and from different localities within Southeast Asia. Our results reect notable amounts of inter-host and inter-regional transmission of Inuenza A viruCopyright 漏 2010 ACM.",biology
537,Research on the Classification of Brain Function Based on SVM,International Conference on Bioinformatics and Biomedical Engineering,"In order to improve the accuracy in classification of electroencephalographic (EEG) signals of different brain functions, the research of how to select the suitable classifier is carried out in the paper. Some experiments have been performed to select the suitable kernel function of support vector machine (SVM). Four different kernel functions are put into the comparison and the results show that the radial basis function (RBF) has the highest rate of correct classification (RCC). On the other hand, the EEG signals from different electrodes will lead different classification results. The study of selecting the suitable electrode has been done. It shows that the RCC of the signal which from the electrode near by the area where EEG signal of a certain brain function is generated is much higher than those far from. We increase the dimension of SVM through combine the signal of different channels, which the RCC is very low, to improve the RCC of the signal which far from the area of the certain brain function. The results of our experiments are satisfied. The RCC of the EEG signal can reached to 99%.",biology
538,Study on Metadata Applications for Proteomics Data Integration,International Conference on Bioinformatics and Biomedical Engineering,"The integration of complex, fast changing biological data repositories can be potentially supported by Grid computing to enable distributed data analysis. The ISPIDER proteomics Grid provides an architecture supporting the combined use of Grid data access, Grid distributed querying and data integration software tools, which support distributed, heterogeneous biologic data integration and analysis. This paper introduces the ISPIDER Proteomics Grid, and discusses what kind of metadata can be used for expressing the multiplicity of data models and the data transformation and integration processes in the proteomics integration Grid, and how this metadata can be further used for supporting other data integration activities.",biology
539,Inferring Adaptive Regulation Thresholds and Association Rules from Gene Expression Data through Combinatorial Optimization Learning,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"There is a need to design computational methods to support the prediction of gene regulatory networks (GRNs). Such models should offer both biologically meaningful and computationally accurate predictions which, in combination with other techniques, may improve large-scale integrative studies. This paper presents a new machine-learning method for the prediction of putative regulatory associations from expression data which exhibit properties never or only partially addressed by other techniques recently published. The method was tested on a Saccharomyces cerevisiae gene expression data set. The results were statistically validated and compared with the relationships inferred by two machine-learning approaches to GRN prediction. Furthermore, the resulting predictions were assessed using domain knowledge. The proposed algorithm may be able to accurately predict relevant biological associations between genes. One of the most relevant features of this new method is the prediction of adaptive regulation thresholds for the discretization of gene expression values, which is required prior to the rule association learning process. Moreover, an important advantage consists of its low computational cost to infer association rules. The proposed system may significantly support exploratory large-scale studies of automated identification of potentially relevant gene expression associations. © 2007 IEEE.",biology
540,A Monte Carlo EM Algorithm for De Novo Motif Discovery in Biomolecular Sequences,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Motif discovery methods play pivotal roles in deciphering the genetic regulatory codes (i.e., motifs) in genomes as well as in locating conserved domains in protein sequences. The Expectation Maximization (EM) algorithm is one of the most popular methods used in de novo motif discovery. Based on the position weight matrix (PWM) updating technique, this paper presents a Monte Carlo version of the EM motif-finding algorithm that carries out stochastic sampling in local alignment space to overcome the conventional EMs main drawback of being trapped in a local optimum. The newly implemented algorithm is named as Monte Carlo EM Motif Discovery Algorithm (MCEMDA). MCEMDA starts from an initial model, and then it iteratively performs Monte Carlo simulation and parameter update until convergence. A log-likelihood profiling technique together with the top-k strategy is introduced to cope with the phase shifts and multiple modal issues in motif discovery problem. A novel grouping motif alignment (GMA) algorithm is designed to select motifs by clustering a population of candidate local alignments and successfully applied to subtle motif discovery. MCEMDA compares favorably to other popular PWM-based and word enumerative motif algorithms tested using simulated (l, d)-motif cases, documented prokaryotic, and eukaryotic DNA motif sequences. Finally, MCEMDA is applied to detect large blocks of conserved domains using protein benchmarks and exhibits its excellent capacity while compared with other multiple sequence alignment methods. ÂŠ 2009 IEEE.",biology
541,Chaos Game Representation for Discriminating Thermophilic from Mesophilic Protein Sequences,International Conference on Bioinformatics and Biomedical Engineering,"Can sequence analysis tell us about the function of protein? A basic question in protein science is which kind of proteins extent thermostability. Chaos game representation (CGR) can investigate the patterns hiding in protein sequence, visually revealing previously unknown structure. In this paper, we convert every protein sequence into a 20-dimensional vector by CGR algorithm, and based on these vectors we discriminate thermophiles from mesophiles using support vector machine (SVM). The overall accuracy achieves 100% in resubstitution test, and 87.12% in Jackknife test. Moreover, Matthews correlation coefficients (MCC) is 0.745.",biology
542,Multi-Class SVM Classification of Surface EMG Signal for Upper Limb Function,International Conference on Bioinformatics and Biomedical Engineering,"Electromyography (EMG) signal is electrical manifestation of neuromuscular activation, that provides access to physiological processes which cause the muscle to generate force and produce movement and allow us to interact with the world. In this paper, an identification of six degree of freedom for evaluating and recording physiologic properties of muscles of the forearm at rest and while contracting is presented. The first step of this method is to analyze the surface EMG signal from the subject's forearm using wavelet packet transform and extract features using the singular value decomposition. In this way, a new feature space is generated from wavelet packet coefficients. The second step is to import the feature values into multi class support vector machine as a classifier, to identify six degree of freedom viz. open to close, close to open, supination, pronation, flexion and extension. The results showed that an accuracy of over 96% could be obtained for a six degree of freedom classification problem.",biology
543,3D Rotation Invariant Features for the Characterization of Molecular Density Maps,Bioinformatics and Biomedicine,"Cryo electron microscopy produces 3D density maps of large macromolecular structures. An important task lies in the efficient identification of structural similarities between different molecular density maps. Here we construct and test three different types of 3D rotation invariant features for template free similarity detection in molecular density maps. The density map comparison is based on feature vectors that describe the surrounding density distribution for a given map position. We propose Fast Fourier Transform based methods to speed up the computation of feature vectors. Previously, little is known about the discriminative power of rotation invariant features for noisy maps. Here, we test the three feature types with density maps at different noise levels. We assess the performance of our feature vectors by a classification experiment of protein density maps. Our results show that at low noise levels the three types of features perform equally well. However, at high noise levels the features that are constructed by a spherical harmonics decomposition of the density neighborhood is significantly more reliable and outperform the other two feature types, which are based on the moments and intensity histograms of the density distribution.",biology
544,Predicting the Risk Type of Human Papillomaviruses Based on Sequence-Derived Features,International Conference on Bioinformatics and Biomedical Engineering,"Human papillomaviruses (HPVs) are a group of viruses that are now recognized as one of the major causes of cervical cancer. But there are over 100 different types of HPV, so scientists have separated HPV types into those that are more likely to develop into cancer and those that are less likely. The so-called ""high risk"" HPV types are more likely to lead to the development of cancer, while ""low-risk"" viruses rarely develop into cancer. Therefore, how can we identify whether it is a risk type of HPVs is very useful and necessary to the diagnosis and the remedy of cervical cancer. To predict and to classify the risk types of HPV by bioinformatics analysis, we construct a HPV dataset from available databases. The classification was achieved on the basis of multitudinous physicochemical and statistical features from protein sequences using Fuzzy K nearest neighbor (FKNN) classifier. The overall predictive accuracy about 96% has been achieved through the rigorous leave-one-out cross-validation on the dataset. This indicates that our method can be a useful associated tool for risk type prediction of human papillomaviruses.",biology
545,Combining Hierarchical Inference in Ontologies with Heterogeneous Data Sources Improves Gene Function Prediction,Bioinformatics and Biomedicine,"The study of gene function is critical in various genomic and proteomic fields. Due to the availability of tremendous amounts of different types of protein data, integrating these datasets to predict function has become a significant opportunity in computational biology. In this paper, to predict protein function we (i) develop a novel Bayesian framework combining relational,hierarchical and structural information with improvement in data usage efficiency over similar methods, and (ii) propose to use it in conjunction with an integrative protein-protein association network, STRING (Search Tool for the Retrieval of INteracting Genes/proteins), which combines information from seven different sources. At the heart of our work is accomplishing protein data integration in a concerted fashion with respect to algorithm and data source. Method performance is assessed by a 5-fold cross-validation in yeast on selected terms from the Molecular Function ontology in the Gene Ontology database. Results show that our combined use of the proposed computational framework and the protein network from STRING offers substantial improvements in prediction. The benefits of using an aggressively integrative network, such as STRING, may derive from the fact that although it is likely that the ultimate gene interaction matrix (including but not limited to protein-protein, genetic, or regulatory interactions) will be sparse, presently it is still known only incompletely in most organisms, and thus the use of multiple distinct data sources is rewarded.",biology
546,Significance of Gene Ranking for Classification of Microarray Samples,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Many methods for classification and gene selection with microarray data have been developed. These methods usually give a ranking of genes. Evaluating the statistical significance of the gene ranking is important for understanding the results and for further biological investigations, but this question has not been well addressed for machine learning methods in existing works. Here, we address this problem by formulating it in the framework of hypothesis testing and propose a solution based on resampling. The proposed r-test methods convert gene ranking results into position p-values to evaluate the significance of genes. The methods are tested on three real microarray data sets and three simulation data sets with support vector machines as the method of classification and gene selection. The obtained position p-values help to determine the number of genes to be selected and enable scientists to analyze selection results by sophisticated multivariate methods under the same statistical inference paradigm as for simple hypothesis testing methods. ÂŠ 2006 IEEE.",biology
547,Gene clustering by structural prior based local factor analysis model under Bayesian Ying-Yang harmony learning,Bioinformatics and Biomedicine," We propose a clustering algorithm based on a structural prior based Local Factor Analysis (spLFA) model under the Bayesian Ying-Yang harmony learning, which automatically determines the hidden dimensionalities during parameter learning, reduces the number of free parameters by projecting the mean vectors onto a low dimensional manifold, imposes the sparseness by a Normal-Jeffreys prior. Experiments on the diagnostic research dataset show that BYY-spLFA outperforms the k-means clustering and single-link hierarchical clustering. The experiments on a lymphoma cancer datset further indicate the BYY-spLFA is able to uncover the number of phenotypes correctly and cluster the phenotypes more accurately. In addition, we modify BYY-spLFA to implement supervised learning and preliminarily demonstrate its effectiveness on a Leukemia data for classification. • INSPEC ◦ Controlled Indexing Bayes methods , bioinformatics , diseases , genetics , learning (artificial intelligence) , medical computing , patient diagnosis , pattern classification , pattern clustering ",biology
548,Hash Subgraph Pairwise Kernel for Protein-Protein Interaction Extraction,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Extracting protein-protein interaction (PPI) from biomedical literature is an important task in biomedical text mining (BioTM). In this paper, we propose a hash subgraph pairwise (HSP) kernel-based approach for this task. The key to the novel kernel is to use the hierarchical hash labels to express the structural information of subgraphs in a linear time. We apply the graph kernel to compute dependency graphs representing the sentence structure for protein-protein interaction extraction task, which can efficiently make use of full graph structural information, and particularly capture the contiguous topological and label information ignored before. We evaluate the proposed approach on five publicly available PPI corpora. The experimental results show that our approach significantly outperforms all-path kernel approach on all five corpora and achieves state-of-the-art performance. © 2012 IEEE.",biology
549,Querying Graphs in Protein-Protein Interactions Networks Using Feedback Vertex Set,IEEE/ACM Transactions on Computational Biology and Bioinformatics," Recent techniques increase rapidly the amount of our knowledge on interactions between proteins. The interpretation of these new information depends on our ability to retrieve known sub-structures in the data, the Protein-Protein Interactions (PPI) networks. In an algorithmic point of view, it is an hard task since it often leads to NP-hard problems. To overcome this difficulty, many authors have provided tools for querying patterns with a restricted topology, i.e. paths or trees in PPI networks. Such restriction leads to the development of fixed parameter tractable (FPT) algorithms, which can be practicable for restricted sizes of queries. Unfortunately, GRAPH HOMOMORPHISM is a W[1]-hard problem, and hence, no FPT algorithm can be found when patterns are in the shape of general graphs. However, Dost et al. [2] gave an algorithm (which is not implemented) to query graphs with a bounded treewidth in PPI networks (the treewidth of the query being involved in the time complexity). In this paper, we propose another algorithm for querying pattern in the shape of graphs, also based on dynamic programming and the color-coding technique. To transform graphs queries into trees without loss of informations, we use feedback vertex set coupled to a node duplication mecanism. Hence, our algorithm is FPT for querying graphs with a bounded size of their feedback vertex set. It gives an alternative to the treewidth parameter, which can be better or worst for a given query. We provide a python implementation which allows us to validate our implementation on real data. Especially, we retrieve some human queries in the shape of graphs into the fly PPI network. ",biology
550,seGOsa: Software environment for gene ontology-driven similarity assessment,Bioinformatics and Biomedicine,"In recent years there has been a growing trend towards the adoption of ontologies to support comprehensive, large-scale functional genomics research. This paper introduces seGOsa, a user-friendly cross-platform system to support large-scale assessment of Gene Ontology (GO)-driven similarity among gene products. Using information-theoretic approaches, the system exploits both topological features of the GO (i.e., between-term relationships in the hierarchy) and statistical features of the model organism databases annotated to the GO (i.e., term frequency) to assess functional similarity among gene products. Based on the assumption that the more information two terms share in common, the more similar they are, three GO-driven similarity measures (Resnik's, Lin's and Jiang's metrics) have been implemented to measure between-term similarity within each of the GO hierarchies. Meanwhile, seGOsa offers two approaches (simple and highest average similarity) to assessing the similarity between gene products based on the aggregation of between-term similarities. The program is freely available for non-profit use on request from the authors.",biology
551,Gene Expression Analysis Using Clustering,International Conference on Bioinformatics and Biomedical Engineering,"Data mining has become an important topic in effective analysis of gene expression data due to its wide application in the biomedical industry. In this paper, k-means clustering algorithm has been extensively studied for gene expression analysis. Since our purpose is to demonstrate the effectiveness of the k-means algorithm for a wide variety of data sets, we have chosen two pattern recognition data and thirteen microarray data sets with both overlapping and non-overlapping cluster boundaries, where the number of features/genes ranges from 4 to 7129 and number of sample ranges from 32 to 683. The number of clusters ranges from two to eleven. We use the clustering error rate (or, clustering accuracy) as evaluation metrics to measure the performance of k-means algorithm.",biology
552,Hilbert-Huang Transform for Analysis of Heart Rate Variability in Cardiac Health,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"This paper introduces a modified technique based on Hilbert-Huang transform (HHT) to improve the spectrum estimates of heart rate variability (HRV). In order to make the beat-to-beat (RR) interval be a function of time and produce an evenly sampled time series, we first adopt a preprocessing method to interpolate and resample the original RR interval. Then, the HHT, which is based on the empirical mode decomposition (EMD) approach to decompose the HRV signal into several monocomponent signals that become analytic signals by means of Hilbert transform, is proposed to extract the features of preprocessed time series and to characterize the dynamic behaviors of parasympathetic and sympathetic nervous system of heart. At last, the frequency behaviors of the Hilbert spectrum and Hilbert marginal spectrum (HMS) are studied to estimate the spectral traits of HRV signals. In this paper, two kinds of experiment data are used to compare our method with the conventional power spectral density (PSD) estimation. The analysis results of the simulated HRV series show that interpolation and resampling are basic requirements for HRV data processing, and HMS is superior to PSD estimation. On the other hand, in order to further prove the superiority of our approach, real HRV signals are collected from seven young health subjects under the condition that autonomic nervous system (ANS) is blocked by certain acute selective blocking drugs: atropine and metoprolol. The high-frequency power/total power ratio and low-frequency power/high-frequency power ratio indicate that compared with the Fourier spectrum based on principal dynamic mode, our method is more sensitive and effective to identify the low-frequency and high-frequency bands of HRV. ÂŠ 2011 IEEE.",biology
553,Hospital pricing estimation by Gaussian conditional random fields based regression on graphs,Bioinformatics and Biomedicine," - Accurate estimation of what a day in a hospital costs and what the hospital charges is of high interest to many parties, including health care providers, medical insurance companies, health researchers, and uninsured patients. The problem is complex, as the cost-to-charge ratio varies greatly from hospital to hospital and over time. In addition, the cost-tocharge ratio is often not reported, and in such cases group average values from similar hospitals are used. In this study we address the problem of estimating the cost-to-charge ratio at the hospital level by utilizing structured regression on a temporal graph of more than 4,000 hospitals, observed over 8 years, constructed from the National Inpatient Sample database. In the proposed approach, the cost-to-charge estimates at individual hospitals for a certain month obtained by an artificial neural network were used as unstructured components in the Gaussian Conditional Random Fields (GCRF) model. The diagnosis codes of treatments in each hospital were used to create a similarity metric that represents correlation among hospital specializations. The estimates of cost-to-charge ratio obtained using convex optimization of the GCRF parameters on the constructed graph were much better than those relying on group average based cost-to-charge estimates. In addition, cost-to-charge ratio estimates by our GCRF model outperformed regression by nonlinear artificial neural networks. ",biology
554,"Network-based inferring drug-disease associations from chemical, genomic and phenotype data",Bioinformatics and Biomedicine,"With the information of drug, disease phenotype and protein interactions accumulating rapidly, to investigate the relationships between drugs and diseases is a critical importance issue. Until recently, few studies attempt to discover drug-disease associations on a network basis. We integrate drug and phenotype information and protein interaction network together and apply a network propagation approach to infer and evaluate the likelihood of the probability between drug and disease based on gene expression profile. In the experiments, we adopt prostate cancer as our test data. We validate our results to the manually curated associations in Comparative Toxicogenomics Database. Our experimental studies show that our proposed method obtains high specificity and sensitivity (AUC=0.98) and clearly outperforms previous existing methods. Our proposed method discovers potential drug-disease associations that drew the attention of biologists and provides a new perspective for toxicogenomics and drug reposition evaluation.",biology
555,Sampling-based methods for a full characterization of energy landscapes of small peptides,Bioinformatics and Biomedicine,"Obtaining accurate representations of energy landscapes of biomolecules such as proteins and peptides is central to structure-function studies. Peptides are particularly interesting, as they exploit structural flexibility to modulate their biological function. Despite their small size, peptide modeling remains challenging due to the complexity of the energy landscape of such highly-flexible dynamic systems. Currently, only sampling-based methods can efficiently explore the conformational space of a peptide. In this paper, we suggest to combine two such methods to obtain a full characterization of energy landscapes of small yet flexible peptides. First, we propose a simplified version of the classical Basin Hopping algorithm to quickly reveal the meta-stable structural states of a peptide and the corresponding low-energy basins in the landscape. Then, we present several variants of a robotics-inspired algorithm, the Transition-based Rapidly-exploring Random Tree, to quickly determine transition state and transition path ensembles, as well as transition probabilities between meta-stable states. We demonstrate this combined approach on the terminally-blocked alanine.",biology
